table,legacy_count,new_count_before,new_count_after,delta,skipped_reason,error
sys_users,24,24,24,0,dry-run,
core_border_points,5,5,5,0,dry-run,
core_countries,11,11,11,0,dry-run,
core_cities,9,9,9,0,dry-run,
core_crate_types,3,3,3,0,dry-run,
core_customers,3,3,3,0,dry-run,
core_domestic_buyers,0,0,0,0,legacy table empty,
core_export_firms,17,17,17,0,dry-run,
core_greenhouse_config,1,1,1,0,dry-run,
core_import_firms,5,5,5,0,dry-run,
core_customer_import_firms,3,3,3,0,dry-run,
core_loading_locations,3,3,3,0,dry-run,
core_operating_day_exceptions,0,0,0,0,legacy table empty,
core_product_types,4,4,4,0,dry-run,
core_role_field_permissions,83,83,83,0,dry-run,
core_role_page_permissions,350,350,350,0,dry-run,
core_role_resource_permissions,125,125,125,0,dry-run,
core_seasons,1,1,1,0,dry-run,
core_shipment_option_types,19,19,19,0,dry-run,
core_shipment_status_types,14,14,14,0,dry-run,
core_tomato_varieties,18,18,18,0,dry-run,
core_greenhouse_blocks,17,17,17,0,dry-run,
core_truck_destinations,3,3,3,0,dry-run,
export_audit_log,9,9,9,0,dry-run,
export_block_manager_assignments,15,15,15,0,dry-run,
export_domestic_market_prices,0,0,0,0,legacy table empty,
export_domestic_sales,0,0,0,0,legacy table empty,
export_finansist_advances,0,0,0,0,legacy table empty,
export_harvest_dispatch_log,1,1,1,0,dry-run,
export_notifications,16,16,16,0,dry-run,
export_price_entries,0,0,0,0,legacy table empty,
export_quota_issuances,9,9,9,0,dry-run,
export_quota_issuance_firm_allocations,64,64,64,0,dry-run,
export_shipments,15,15,15,0,dry-run,
export_finansist_advance_shipments,0,0,0,0,legacy table empty,
export_pallets,0,0,0,0,legacy table empty,
export_quality_documents,1,1,1,0,dry-run,
export_quota_usage_records,203,203,203,0,dry-run,
export_sales_reports,0,0,0,0,legacy table empty,
export_shipment_block_sources,18,18,18,0,dry-run,
export_shipment_comments,11,11,11,0,dry-run,
export_shipment_firm_splits,20,20,20,0,dry-run,
export_shipment_status_log,12,12,12,0,dry-run,
export_shipments_varieties_dominant,0,0,0,0,legacy table empty,
export_truck_split_defaults,3,3,3,0,dry-run,
export_weekly_harvest_plans,333,333,333,0,dry-run,
export_harvest_day_entries,1998,1998,1998,0,dry-run,
export_weekly_local_sell_plans,248,248,248,0,dry-run,
export_weekly_truck_allocations,173,173,173,0,dry-run,
export_truck_destination_splits,446,446,446,0,dry-run,
