block,month,production_kg,rev_export,rev_kapi,rev_domestic,rev_totalUSD,personnel_ex770,pool770_share,fertilizer,sarf,gen_710,gen_720,gen_730,gen_750,gen_760,gen_770manual,yonetim770,general_total,expense_total
Dusak-A,01,402727.76,334190.74,75310.09,241636.66,409500.84,0,0,180,0,0,0,10,,98379.65,0,0,98389.65,98569.65
Dusak-A,02,252031.41,272705.65,92818.13,151218.85,365523.78,0,0,180,0,0,0,0,,34675.3,0,0,34675.3,34855.3
Dusak-A,03,356118.53,447691.42,120590.28,213671.12,568281.7,0,0,200,0,0,0,0,,48995.94,0,0,48995.94,49195.94
Dusak-A,04,639565.74,530110.25,185729.89,383739.44,715840.15,0,0,120,0,0,0,0,,87993.53,0,0,87993.53,88113.53
Dusak-A,05,693757.32,304741.92,74925.79,867196.65,379667.71,0,0,160,0,0,0,0,,85728.69,0,0,85728.69,85888.69
Dusak-A,06,463402.15,142752.52,13253.3,324381.5,156005.82,0,0,140,0,0,0,0,,52268.69,0,0,52268.69,52408.69
Dusak-A,07,0,0,0,0,0,0,0,0,15130,0,0,0,,0,0,0,0,15130
Dusak-A,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-A,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-A,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-A,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-A,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-B,01,236416.56,196182.72,44209.9,141849.94,240392.61,0,0,900,0,0,0,129608.4,,57752.61,0,0,187361.01,188261.01
Dusak-B,02,262530.15,284065.6,96684.6,157518.09,380750.21,0,0,504,0,0,0,176210.4,,36119.75,0,0,212330.15,212834.15
Dusak-B,03,289884.67,364426.08,98161.91,173930.8,462587.98,0,0,756,0,0,0,224641.2,,39883.27,0,0,264524.47,265280.47
Dusak-B,04,572279.45,474339.36,166189.95,343367.67,640529.31,0,0,312,0,0,0,180249.6,,78736.07,0,0,258985.67,259297.67
Dusak-B,05,735491.79,323074.33,79433.11,919364.74,402507.44,0,0,2400,0,0,0,193401.6,,90885.88,0,0,284287.48,286687.48
Dusak-B,06,387605.14,119403,11085.51,271323.6,130488.51,0,0,4800,0,0,0,186355.2,,43719.29,0,0,230074.49,234874.49
Dusak-B,07,0,0,0,0,0,0,0,48,1320,0,0,0,,0,0,0,0,1368
Dusak-B,08,0,0,0,0,0,0,0,0,16836,0,0,0,,0,0,0,0,16836
Dusak-B,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-B,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-B,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-B,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-C,01,227333.13,188645.12,42511.3,136399.88,231156.42,0,0,900,0,0,0,129608.4,,55533.68,0,0,185142.08,186042.08
Dusak-C,02,230094.8,248969.57,84739.31,138056.88,333708.88,0,0,504,0,0,0,176210.4,,31657.19,0,0,207867.59,208371.59
Dusak-C,03,277976.3,349455.57,94129.45,166785.78,443585.02,0,0,756,0,0,0,224641.2,,38244.88,0,0,262886.08,263642.08
Dusak-C,04,588167.29,487508.15,170803.78,352900.37,658311.93,0,0,312,0,0,0,180249.6,,80921.97,0,0,261171.57,261483.57
Dusak-C,05,641354.11,281723.13,69266.24,801692.64,350989.37,0,0,2400,0,0,0,193401.6,,79253.14,0,0,272654.74,275054.74
Dusak-C,06,464287.39,143025.22,13278.62,325001.17,156303.84,0,0,4800,0,0,0,186355.2,,52368.54,0,0,238723.74,243523.74
Dusak-C,07,0,0,0,0,0,0,0,48,18156,0,0,0,,0,0,0,0,18204
Dusak-C,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-C,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-C,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-C,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-C,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-1,01,0,0,0,0,0,0,0,750,0,0,0,108007,,0,0,0,108007,108757
Dusak-1,02,0,0,0,0,0,0,0,420,0,0,0,146842,,0,0,0,146842,147262
Dusak-1,03,0,0,0,0,0,0,0,630,0,0,0,187201,,0,0,0,187201,187831
Dusak-1,04,0,0,0,0,0,0,0,260,0,0,0,150208,,0,0,0,150208,150468
Dusak-1,05,0,0,0,0,0,0,0,2000,0,0,0,161168,,0,0,0,161168,163168
Dusak-1,06,0,0,0,0,0,0,0,4000,0,0,0,155296,,0,0,0,155296,159296
Dusak-1,07,0,0,0,0,0,0,0,40,15130,0,0,0,,0,0,0,0,15170
Dusak-1,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-1,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-1,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-1,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-1,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-2,01,0,0,0,0,0,0,0,750,0,0,0,108007,,0,0,0,108007,108757
Dusak-2,02,0,0,0,0,0,0,0,420,0,0,0,146842,,0,0,0,146842,147262
Dusak-2,03,0,0,0,0,0,0,0,630,0,0,0,187201,,0,0,0,187201,187831
Dusak-2,04,0,0,0,0,0,0,0,260,0,0,0,150208,,0,0,0,150208,150468
Dusak-2,05,0,0,0,0,0,0,0,2000,0,0,0,161168,,0,0,0,161168,163168
Dusak-2,06,0,0,0,0,0,0,0,4000,0,0,0,155296,,0,0,0,155296,159296
Dusak-2,07,0,0,0,0,0,0,0,40,15130,0,0,0,,0,0,0,0,15170
Dusak-2,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-2,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-2,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-2,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-2,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-3,01,0,0,0,0,0,0,0,750,0,0,0,108007,,0,0,0,108007,108757
Dusak-3,02,0,0,0,0,0,0,0,420,0,0,0,146842,,0,0,0,146842,147262
Dusak-3,03,0,0,0,0,0,0,0,630,0,0,0,187201,,0,0,0,187201,187831
Dusak-3,04,0,0,0,0,0,0,0,260,0,0,0,150208,,0,0,0,150208,150468
Dusak-3,05,0,0,0,0,0,0,0,2000,0,0,0,161168,,0,0,0,161168,163168
Dusak-3,06,0,0,0,0,0,0,0,4000,0,0,0,155296,,0,0,0,155296,159296
Dusak-3,07,0,0,0,0,0,0,0,40,15130,0,0,0,,0,0,0,0,15170
Dusak-3,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-3,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-3,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-3,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-3,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-4,01,0,0,0,0,0,0,0,750,0,0,0,108007,,0,0,0,108007,108757
Dusak-4,02,0,0,0,0,0,0,0,420,0,0,0,146842,,0,0,0,146842,147262
Dusak-4,03,0,0,0,0,0,0,0,630,0,0,0,187201,,0,0,0,187201,187831
Dusak-4,04,0,0,0,0,0,0,0,260,0,0,0,150208,,0,0,0,150208,150468
Dusak-4,05,0,0,0,0,0,0,0,2000,0,0,0,161168,,0,0,0,161168,163168
Dusak-4,06,0,0,0,0,0,0,0,4000,0,0,0,155296,,0,0,0,155296,159296
Dusak-4,07,0,0,0,0,0,0,0,40,15130,0,0,0,,0,0,0,0,15170
Dusak-4,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-4,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-4,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-4,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-4,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Dusak-5,01,0,0,0,0,0,0,0,750,0,0,0,108007,,0,0,0,108007,108757
Dusak-5,02,0,0,0,0,0,0,0,420,0,0,0,146842,,0,0,0,146842,147262
Dusak-5,03,0,0,0,0,0,0,0,630,0,0,0,187201,,0,0,0,187201,187831
Dusak-5,04,0,0,0,0,0,0,0,260,0,0,0,150208,,0,0,0,150208,150468
