
frontend-1  | 2026-06-11T13:00:11.627877839Z 10.10.60.227 - - [11/Jun/2026:13:00:11 +0000] "GET /api/v1/core/border-points/?page_size=200 HTTP/1.1" 200 766 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:12.654162172Z 10.10.60.227 - - [11/Jun/2026:13:00:12 +0000] "GET /api/v1/export/admin/firms/?page_size=200 HTTP/1.1" 403 62 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:12.659442118Z 10.10.60.227 - - [11/Jun/2026:13:00:12 +0000] "GET /api/v1/export/admin/import-firms/?page_size=200 HTTP/1.1" 403 62 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:18.531224313Z 10.10.60.238 - - [11/Jun/2026:13:00:18 +0000] "GET /ws/app/ HTTP/1.1" 403 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:18.570951051Z 10.10.60.232 - - [11/Jun/2026:13:00:18 +0000] "GET /ws/app/ HTTP/1.1" 403 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:20.983478393Z 10.10.60.227 - - [11/Jun/2026:13:00:20 +0000] "PATCH /api/v1/export/user/sheet-preferences/ HTTP/1.1" 200 203 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:21.058727977Z 10.10.60.227 - - [11/Jun/2026:13:00:21 +0000] "GET /api/v1/export/user/sheet-preferences/ HTTP/1.1" 200 203 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:21.732884805Z 2026/06/11 13:00:21 [warn] 30#30: *1942 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/06/0000000067 while reading upstream, client: 10.10.60.227, server: , request: "GET /api/v1/export/shipments/sheet/ HTTP/1.1", upstream: "http://172.18.0.4:8000/api/v1/export/shipments/sheet/", host: "10.10.11.25:8080", referrer: "http://10.10.11.25:8080/export/shipments/sheet"
frontend-1  | 2026-06-11T13:00:21.825172284Z 10.10.60.227 - - [11/Jun/2026:13:00:21 +0000] "GET /api/v1/export/shipments/sheet/ HTTP/1.1" 200 555031 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:21.840317098Z 10.10.60.227 - - [11/Jun/2026:13:00:21 +0000] "GET /api/v1/me/tasks/?page_size=200 HTTP/1.1" 200 52 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:21.849474375Z 10.10.60.227 - - [11/Jun/2026:13:00:21 +0000] "GET /api/v1/export/notifications/ HTTP/1.1" 200 263 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:36.601730248Z 10.10.60.227 - - [11/Jun/2026:13:00:36 +0000] "PATCH /api/v1/export/user/sheet-preferences/ HTTP/1.1" 200 203 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:36.657757396Z 10.10.60.227 - - [11/Jun/2026:13:00:36 +0000] "GET /api/v1/export/user/sheet-preferences/ HTTP/1.1" 200 203 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:37.377203699Z 2026/06/11 13:00:37 [warn] 30#30: *1937 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/06/0000000068 while reading upstream, client: 10.10.60.227, server: , request: "GET /api/v1/export/shipments/sheet/ HTTP/1.1", upstream: "http://172.18.0.4:8000/api/v1/export/shipments/sheet/", host: "10.10.11.25:8080", referrer: "http://10.10.11.25:8080/export/shipments/sheet"
frontend-1  | 2026-06-11T13:00:37.432755970Z 10.10.60.227 - - [11/Jun/2026:13:00:37 +0000] "GET /api/v1/export/shipments/sheet/ HTTP/1.1" 200 555031 "http://10.10.11.25:8080/export/shipments/sheet" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
frontend-1  | 2026-06-11T13:00:49.518136558Z 10.10.60.238 - - [11/Jun/2026:13:00:49 +0000] "GET /ws/app/ HTTP/1.1" 403 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36" "-"
